geoName	geoCode	term	interest
Macon GA	503	defund the police	32
Madison WI	669	defund the police	38
Mankato MN	737	defund the police	21
Marquette MI	553	defund the police	42
Medford-Klamath Falls OR	813	defund the police	43
Memphis TN	640	defund the police	30
Meridian MS	711	defund the police	0
Miami-Ft. Lauderdale FL	528	defund the police	28
Milwaukee WI	617	defund the police	45
Minneapolis-St. Paul MN	613	defund the police	39
Minot-Bismarck-Dickinson(Williston) ND	687	defund the police	28
Missoula MT	762	defund the police	34
Mobile AL-Pensacola (Ft. Walton Beach) FL	686	defund the police	27
Monroe LA-El Dorado AR	628	defund the police	28
Monterey-Salinas CA	828	defund the police	39
Montgomery (Selma) AL	698	defund the police	30
Nashville TN	659	defund the police	35
New Orleans LA	622	defund the police	30
New York NY	501	defund the police	36
Norfolk-Portsmouth-Newport News VA	544	defund the police	35
North Platte NE	740	defund the police	0
Odessa-Midland TX	633	defund the police	30
Oklahoma City OK	650	defund the police	27
Omaha NE	652	defund the police	32
Orlando-Daytona Beach-Melbourne FL	534	defund the police	32
Ottumwa IA-Kirksville MO	631	defund the police	31
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL	632	defund the police	35
Palm Springs CA	804	defund the police	42
Panama City FL	656	defund the police	33
Parkersburg WV	597	defund the police	36
Peoria-Bloomington IL	675	defund the police	42
Philadelphia PA	504	defund the police	39
Phoenix AZ	753	defund the police	35
Pittsburgh PA	508	defund the police	40
Portland OR	820	defund the police	36
Portland-Auburn ME	500	defund the police	37
Presque Isle ME	552	defund the police	0
Providence RI-New Bedford MA	521	defund the police	39
Quincy IL-Hannibal MO-Keokuk IA	717	defund the police	44
Raleigh-Durham (Fayetteville) NC	560	defund the police	36
Rapid City SD	764	defund the police	35
Reno NV	811	defund the police	36
Richmond-Petersburg VA	556	defund the police	38
Roanoke-Lynchburg VA	573	defund the police	25
Rochester MN-Mason City IA-Austin MN	611	defund the police	25
Rochester NY	538	defund the police	37
Rockford IL	610	defund the police	41
Sacramento-Stockton-Modesto CA	862	defund the police	36
Salisbury MD	576	defund the police	44
Salt Lake City UT	770	defund the police	35
San Angelo TX	661	defund the police	28
San Antonio TX	641	defund the police	31
San Diego CA	825	defund the police	33
San Francisco-Oakland-San Jose CA	807	defund the police	32
Santa Barbara-Santa Maria-San Luis Obispo CA	855	defund the police	37
Savannah GA	507	defund the police	36
Seattle-Tacoma WA	819	defund the police	41
Sherman TX-Ada OK	657	defund the police	16
Shreveport LA	612	defund the police	27
Sioux City IA	624	defund the police	25
Sioux Falls(Mitchell) SD	725	defund the police	29
South Bend-Elkhart IN	588	defund the police	39
Spokane WA	881	defund the police	41
Springfield MO	619	defund the police	34
Springfield-Holyoke MA	543	defund the police	42
St. Joseph MO	638	defund the police	31
St. Louis MO	609	defund the police	40
Syracuse NY	555	defund the police	37
Tallahassee FL-Thomasville GA	530	defund the police	30
Tampa-St. Petersburg (Sarasota) FL	539	defund the police	34
Terre Haute IN	581	defund the police	39
Toledo OH	547	defund the police	34
Topeka KS	605	defund the police	25
Traverse City-Cadillac MI	540	defund the police	47
Tri-Cities TN-VA	531	defund the police	32
Tucson (Sierra Vista) AZ	789	defund the police	35
Tulsa OK	671	defund the police	27
Twin Falls ID	760	defund the police	31
Tyler-Longview(Lufkin & Nacogdoches) TX	709	defund the police	33
Utica NY	526	defund the police	32
Victoria TX	626	defund the police	43
Waco-Temple-Bryan TX	625	defund the police	29
Washington DC (Hagerstown MD)	511	defund the police	36
Watertown NY	549	defund the police	31
Wausau-Rhinelander WI	705	defund the police	42
West Palm Beach-Ft. Pierce FL	548	defund the police	33
Wheeling WV-Steubenville OH	554	defund the police	36
Wichita Falls TX & Lawton OK	627	defund the police	31
Wichita-Hutchinson KS	678	defund the police	28
Wilkes Barre-Scranton PA	577	defund the police	41
Wilmington NC	550	defund the police	42
Yakima-Pasco-Richland-Kennewick WA	810	defund the police	41
Youngstown OH	536	defund the police	33
Yuma AZ-El Centro CA	771	defund the police	25
Zanesville OH	596	defund the police	0
Abilene-Sweetwater TX	662	police accountability	0
Albany GA	525	police accountability	0
Albany-Schenectady-Troy NY	532	police accountability	12
Albuquerque-Santa Fe NM	790	police accountability	8
Alexandria LA	644	police accountability	0
Alpena MI	583	police accountability	0
Amarillo TX	634	police accountability	0
Anchorage AK	743	police accountability	0
Atlanta GA	524	police accountability	6
Augusta GA	520	police accountability	6
Austin TX	635	police accountability	9
Bakersfield CA	800	police accountability	9
Baltimore MD	512	police accountability	27
Bangor ME	537	police accountability	0
Baton Rouge LA	716	police accountability	9
Beaumont-Port Arthur TX	692	police accountability	15
Bend OR	821	police accountability	0
Billings, MT	756	police accountability	18
Biloxi-Gulfport MS	746	police accountability	0
Binghamton NY	502	police accountability	0
Birmingham AL	630	police accountability	6
Bluefield-Beckley-Oak Hill WV	559	police accountability	0
Boise ID	757	police accountability	19
Boston MA-Manchester NH	506	police accountability	12
Bowling Green KY	736	police accountability	0
Buffalo NY	514	police accountability	12
Burlington VT-Plattsburgh NY	523	police accountability	11
Butte-Bozeman MT	754	police accountability	0
Casper-Riverton WY	767	police accountability	0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA	637	police accountability	6
Champaign & Springfield-Decatur IL	648	police accountability	12
Charleston SC	519	police accountability	5
Charleston-Huntington WV	564	police accountability	6
Charlotte NC	517	police accountability	6
Charlottesville VA	584	police accountability	0
Chattanooga TN	575	police accountability	0
Cheyenne WY-Scottsbluff NE	759	police accountability	0
Chicago IL	602	police accountability	25
Chico-Redding CA	868	police accountability	10
Cincinnati OH	515	police accountability	6
Clarksburg-Weston WV	598	police accountability	0
Cleveland-Akron (Canton) OH	510	police accountability	6
Colorado Springs-Pueblo CO	752	police accountability	17
Columbia SC	546	police accountability	10
Columbia-Jefferson City MO	604	police accountability	13
Columbus GA	522	police accountability	0
Columbus OH	535	police accountability	8
Columbus-Tupelo-West Point MS	673	police accountability	0
Corpus Christi TX	600	police accountability	0
Dallas-Ft. Worth TX	623	police accountability	7
Davenport IA-Rock Island-Moline IL	682	police accountability	10
Dayton OH	542	police accountability	9
Denver CO	751	police accountability	13
Des Moines-Ames IA	679	police accountability	4
Detroit MI	505	police accountability	6
